Payroll Number,First Name,Last Name,Department,Position,Job Title,Latest Start Date,Job Seniority Date,Total Salary,Gender,Hispanic or Latino of any race,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific,White,Two or More Races,Assignment Status,Assignment Category
791107,Humberto,Kyte,Training,C205.Department Name.Division Name.03,Health Coach I,2016-09-17,2016-09-17,112360.81,M,,,,True,,True,,Active Assignment,Fulltime-Temporary
151181,Gay,McCulley,Human Resources,R926.Department Name.Division Name.08,General Manager,2007-12-18,2007-12-18,107051.50,F,,,,True,,,,Active Assignment,Parttime-Regular
352627,Alf,Peteri,Sales,P802.Department Name.Division Name.03,Web Designer IV,2015-07-14,2015-07-14,124788.61,M,,,,True,,True,,Active Assignment,Fulltime-Regular
161330,Anton,Sloley,Product Management,N077.Department Name.Division Name.05,Financial Advisor,2001-02-09,2001-02-09,142472.18,M,,,,,,,,Active Assignment,Fulltime-Temporary
702107,Marcus,Bromehed,Engineering,I719.Department Name.Division Name.08,Senior Editor,2003-11-05,2003-11-05,81303.56,M,,,,True,,,,Active Assignment,Fulltime-Regular
496837,Katti,Aiken,Legal,G701.Department Name.Division Name.09,Nuclear Power Engineer,2012-11-01,2012-11-01,121068.89,F,,,,,,True,,Active Assignment,Fulltime-Temporary
941845,Edythe,Morritt,Human Resources,C828.Department Name.Division Name.05,Project Manager,2011-01-24,2011-01-24,133279.14,F,,True,,,True,True,,Active Assignment,Fulltime-Regular
929449,Gerek,Carik,Engineering,A401.Department Name.Division Name.07,Actuary,2004-07-29,2004-07-29,114121.76,M,,,True,,,True,,Active Assignment,Fulltime-Regular
957186,Ayn,Boscher,Research and Development,R024.Department Name.Division Name.04,Project Manager,2010-11-05,2010-11-05,135294.48,F,,,,True,,,,Active Assignment,Fulltime-Temporary
772060,Ogdan,Elfes,Research and Development,Z875.Department Name.Division Name.06,Director of Sales,2013-04-10,2013-04-10,65406.75,M,,,,,True,True,,Active Assignment,Fulltime-Temporary
266663,Lenette,Keyes,Marketing,X781.Department Name.Division Name.06,Professor,2007-09-06,2007-09-06,63722.70,F,,,True,True,True,True,,Active Assignment,Fulltime-Regular
467231,Andres,Leser,Product Management,G784.Department Name.Division Name.00,Help Desk Operator,2015-11-07,2015-11-07,136715.74,M,True,,True,,,True,,Active Assignment,Fulltime-Regular
498090,Drucill,Roberti,Product Management,Q890.Department Name.Division Name.05,Human Resources Assistant I,2004-09-28,2004-09-28,57085.04,F,,,,,,,,Active Assignment,Fulltime-Regular
531699,Paulina,Beeston,Marketing,W127.Department Name.Division Name.07,Recruiter,2004-10-12,2004-10-12,73753.93,F,,,,True,,True,,Active Assignment,Fulltime-Regular
677161,Fowler,Dunkley,Engineering,R048.Department Name.Division Name.04,Civil Engineer,2005-06-15,2005-06-15,80902.63,M,,,,True,,True,,Active Assignment,Fulltime-Regular
800788,Anderson,Halsall,Engineering,N148.Department Name.Division Name.07,Quality Control Specialist,2012-03-23,2012-03-23,48892.05,M,,,,True,,True,,Active Assignment,Parttime-Regular
231122,Lianne,Ghidoli,Support,W013.Department Name.Division Name.01,Project Manager,2017-02-06,2017-02-06,83124.17,F,True,,True,,,True,,Active Assignment,Parttime-Regular
907782,Gordon,Estcot,Engineering,Z112.Department Name.Division Name.09,Web Designer III,2001-03-20,2001-03-20,130373.35,M,,,,True,,True,,Active Assignment,Parttime-Regular
412322,Berkley,Pride,Business Development,A161.Department Name.Division Name.05,Director of Sales,2005-05-14,2005-05-14,98764.00,M,,,,,,True,,Active Assignment,Parttime-Regular
765253,Johnny,Porcas,Marketing,B656.Department Name.Division Name.06,Executive Secretary,2012-10-13,2012-10-13,53442.49,M,,,,,,,,Active Assignment,Parttime-Regular
362217,Korry,Hendrickson,Accounting,B801.Department Name.Division Name.08,Statistician II,2012-09-07,2012-09-07,48718.10,F,,,True,,,True,,Active Assignment,Parttime-Regular
622827,Barbara-anne,Keddle,Sales,Y157.Department Name.Division Name.08,Nuclear Power Engineer,2006-05-31,2006-05-31,62609.23,F,,,,True,True,,,Active Assignment,Fulltime-Regular
848516,Devora,Beseke,Support,W413.Department Name.Division Name.02,Biostatistician II,2011-05-10,2011-05-10,66801.39,F,,,,,,,,Active Assignment,Fulltime-Regular
468802,Weber,Kleyn,Human Resources,H437.Department Name.Division Name.02,Senior Editor,2008-06-26,2008-06-26,66548.75,M,,,True,,,True,,Active Assignment,Fulltime-Temporary
132383,Towney,Durham,Legal,P046.Department Name.Division Name.03,Help Desk Technician,2017-02-14,2017-02-14,88535.95,M,,,,,,True,,Active Assignment,Fulltime-Regular
170533,Alysia,Tarply,Sales,K840.Department Name.Division Name.08,Teacher,2017-05-21,2017-05-21,117246.11,F,,,True,True,,True,,Active Assignment,Fulltime-Regular
862415,Frankie,Ruckman,Engineering,M992.Department Name.Division Name.00,Human Resources Manager,2011-06-19,2011-06-19,59242.64,M,True,,True,True,True,True,,Active Assignment,Fulltime-Regular
238250,Lindsay,Paler,Product Management,K213.Department Name.Division Name.07,Cost Accountant,2013-07-18,2013-07-18,55473.65,F,True,,,,,,,Active Assignment,Fulltime-Regular
595997,Keen,Henmarsh,Legal,C783.Department Name.Division Name.08,Human Resources Assistant I,2003-09-24,2003-09-24,80935.05,M,,,,,,True,,Active Assignment,Fulltime-Temporary
911787,Leopold,Stiffell,Accounting,M480.Department Name.Division Name.05,Environmental Tech,2003-03-07,2003-03-07,80239.54,M,,,,True,,,,Active Assignment,Parttime-Regular
888397,Kris,Clemonts,Support,I712.Department Name.Division Name.01,Environmental Specialist,2012-08-08,2012-08-08,131412.66,F,,,True,True,,,,Active Assignment,Parttime-Regular
123445,Tammy,Blodg,Support,V061.Department Name.Division Name.07,Research Associate,2011-01-14,2011-01-14,133378.38,F,True,,,True,True,True,,Active Assignment,Parttime-Regular
145923,Bab,Manske,Research and Development,V101.Department Name.Division Name.09,Physical Therapy Assistant,2015-11-05,2015-11-05,59460.59,F,,,,,,True,,Active Assignment,Fulltime-Temporary
514697,Marthena,Huckin,Research and Development,W806.Department Name.Division Name.00,Research Assistant II,2006-03-17,2006-03-17,84102.21,F,,,,,,True,,Active Assignment,Fulltime-Temporary
342135,Blinnie,Yandle,Business Development,P692.Department Name.Division Name.02,Staff Scientist,2009-08-07,2009-08-07,57530.43,F,,,,True,,True,,Active Assignment,Fulltime-Temporary
865803,Ax,Petrushanko,Support,Q428.Department Name.Division Name.03,Senior Cost Accountant,2005-07-25,2005-07-25,48221.88,M,,,,True,,True,,Active Assignment,Parttime-Regular
533674,Colan,MacGillacolm,Product Management,Q509.Department Name.Division Name.08,Help Desk Operator,2002-06-20,2002-06-20,59223.48,M,,,True,True,,,,Active Assignment,Fulltime-Temporary
207594,Garwin,Gallemore,Human Resources,G694.Department Name.Division Name.01,Financial Advisor,2002-11-29,2002-11-29,108614.88,M,,,True,True,,True,,Active Assignment,Fulltime-Temporary
433333,Dunc,Hempshall,Support,H154.Department Name.Division Name.02,Civil Engineer,2005-11-01,2005-11-01,145847.27,M,True,,,True,,,,Active Assignment,Fulltime-Regular
512070,Myrta,Rutgers,Accounting,X769.Department Name.Division Name.08,Clinical Specialist,2001-02-12,2001-02-12,79181.57,F,,,True,True,,,,Active Assignment,Fulltime-Regular
610928,Phip,McKinless,Sales,B999.Department Name.Division Name.05,Junior Executive,2011-03-12,2011-03-12,93409.38,M,,,,True,True,True,,Active Assignment,Fulltime-Regular
117591,Pansy,Bullant,Research and Development,R789.Department Name.Division Name.01,Recruiter,2009-08-31,2009-08-31,41132.45,F,,,,,,,,Active Assignment,Fulltime-Temporary
115748,Sanford,Beams,Marketing,U038.Department Name.Division Name.00,Assistant Manager,2017-01-15,2017-01-15,98301.15,M,,,,,,,,Active Assignment,Parttime-Regular
779916,Joelynn,Cicchinelli,Accounting,H493.Department Name.Division Name.06,Professor,2016-10-22,2016-10-22,53692.83,F,True,,True,,True,True,,Active Assignment,Fulltime-Temporary
154897,Dewey,Phittiplace,Marketing,N492.Department Name.Division Name.06,Help Desk Technician,2013-02-24,2013-02-24,144091.12,M,,,True,True,,True,,Active Assignment,Fulltime-Regular
413904,Wilow,Kinch,Support,D077.Department Name.Division Name.02,Senior Financial Analyst,2001-02-09,2001-02-09,112494.68,F,True,,,True,,,,Active Assignment,Fulltime-Regular
617850,Allen,German,Legal,U625.Department Name.Division Name.03,Structural Engineer,2014-08-09,2014-08-09,72399.32,M,,,,True,True,,,Active Assignment,Parttime-Regular
324382,Cord,Guillerman,Services,X949.Department Name.Division Name.04,Chemical Engineer,2009-09-13,2009-09-13,97898.51,M,,,,,True,True,,Active Assignment,Fulltime-Temporary
740475,Lisa,Massei,Human Resources,U082.Department Name.Division Name.02,Human Resources Manager,2013-03-25,2013-03-25,99004.68,F,True,,,,,,,Active Assignment,Fulltime-Regular
285508,Davidde,Mitten,Sales,L604.Department Name.Division Name.08,Web Developer I,2008-08-24,2008-08-24,132385.73,M,,,True,True,,True,,Active Assignment,Fulltime-Temporary
767446,Darnell,Lightwing,Accounting,A164.Department Name.Division Name.03,Geologist I,2001-06-27,2001-06-27,78629.41,M,,,,,,,,Active Assignment,Fulltime-Temporary
843638,Shaylah,Thomton,Human Resources,K385.Department Name.Division Name.02,Office Assistant III,2009-01-10,2009-01-10,117030.75,F,,,,True,,,,Active Assignment,Fulltime-Temporary
289093,Joann,Witt,Accounting,R021.Department Name.Division Name.07,Project Manager,2014-08-01,2014-08-01,68772.96,F,True,,,,,,,Active Assignment,Fulltime-Regular
962239,Cristian,Frackiewicz,Services,N933.Department Name.Division Name.06,VP Product Management,2004-05-28,2004-05-28,118493.21,M,True,,,,,True,,Active Assignment,Fulltime-Temporary
109894,Marice,Baulk,Training,J631.Department Name.Division Name.09,Project Manager,2013-06-16,2013-06-16,114512.27,F,True,,,True,,True,,Active Assignment,Fulltime-Temporary
848331,Jock,Klug,Legal,S974.Department Name.Division Name.07,Physical Therapy Assistant,2009-10-28,2009-10-28,123411.01,M,True,,,True,,,,Active Assignment,Fulltime-Regular
826922,Elizabet,Idell,Engineering,Y409.Department Name.Division Name.02,Junior Executive,2005-03-24,2005-03-24,108715.83,F,,,,,,,,Active Assignment,Fulltime-Temporary
719753,Anson,Hain,Business Development,F699.Department Name.Division Name.08,Chemical Engineer,2011-04-24,2011-04-24,65558.61,M,True,,,,,,,Active Assignment,Fulltime-Regular
709274,Derek,Gerram,Business Development,I040.Department Name.Division Name.05,Staff Accountant IV,2013-07-30,2013-07-30,101883.54,M,True,,,,,True,,Active Assignment,Fulltime-Temporary
162776,Kristofer,Healks,Services,B128.Department Name.Division Name.06,Safety Technician IV,2013-03-10,2013-03-10,131312.37,M,,,True,,,,,Active Assignment,Parttime-Regular
503107,Jules,Dafydd,Sales,C151.Department Name.Division Name.02,Assistant Manager,2016-02-08,2016-02-08,120765.63,M,,,,,True,,,Active Assignment,Fulltime-Regular
154510,Frederic,Waldren,Research and Development,N357.Department Name.Division Name.00,Human Resources Assistant IV,2006-09-05,2006-09-05,109940.01,M,,,True,True,True,True,,Active Assignment,Fulltime-Regular
890766,Sioux,Menary,Sales,L900.Department Name.Division Name.02,Research Assistant III,2013-12-11,2013-12-11,72098.93,F,,,,True,,True,,Active Assignment,Fulltime-Regular
758238,Ailsun,Romi,Legal,F241.Department Name.Division Name.05,Analyst Programmer,2002-11-21,2002-11-21,144824.80,F,,,True,,,True,,Active Assignment,Parttime-Regular
361909,Nancey,Tearny,Human Resources,O908.Department Name.Division Name.06,Quality Engineer,2013-05-05,2013-05-05,61045.15,F,,,,True,,,,Active Assignment,Parttime-Regular
530829,Ilse,Van der Velden,Training,T456.Department Name.Division Name.05,Account Executive,2004-11-08,2004-11-08,54419.90,F,,,,,,,,Active Assignment,Fulltime-Regular
659512,Kat,Lucks,Training,H571.Department Name.Division Name.04,Account Coordinator,2002-03-03,2002-03-03,149707.71,F,,,,,,,,Active Assignment,Fulltime-Temporary
716937,Simon,Seel,Human Resources,O656.Department Name.Division Name.00,Financial Advisor,2007-05-28,2007-05-28,65033.37,M,,,,,True,True,,Active Assignment,Fulltime-Temporary
541234,Rosalyn,Manvell,Human Resources,N321.Department Name.Division Name.09,Project Manager,2001-07-01,2001-07-01,54384.27,F,,,,,,True,,Active Assignment,Parttime-Regular
404769,Liane,Betje,Services,M709.Department Name.Division Name.06,Research Associate,2010-08-11,2010-08-11,76477.30,F,True,,,True,True,True,,Active Assignment,Parttime-Regular
285129,Glori,Klesl,Support,P609.Department Name.Division Name.09,Research Assistant II,2012-11-06,2012-11-06,72651.63,F,,,True,True,,True,,Active Assignment,Fulltime-Regular
561840,Farand,Berriball,Engineering,Y947.Department Name.Division Name.08,Information Systems Manager,2009-02-15,2009-02-15,56352.63,F,,,,True,,,,Active Assignment,Fulltime-Regular
281504,Joete,Dommett,Engineering,N445.Department Name.Division Name.07,Computer Systems Analyst III,2012-03-28,2012-03-28,123264.76,F,,,True,True,,,,Active Assignment,Fulltime-Temporary
477208,Dallis,Duffree,Engineering,X295.Department Name.Division Name.04,Senior Developer,2017-01-07,2017-01-07,75977.75,M,,,,True,,True,,Active Assignment,Fulltime-Regular
389677,Josi,Oseland,Human Resources,B958.Department Name.Division Name.03,Geological Engineer,2007-08-24,2007-08-24,62618.08,F,,,,True,,True,,Active Assignment,Fulltime-Temporary
679389,Juanita,Currum,Training,O034.Department Name.Division Name.06,Actuary,2007-04-07,2007-04-07,40009.83,F,,,,True,,,,Active Assignment,Fulltime-Regular
379265,Rochester,Quartly,Engineering,D890.Department Name.Division Name.06,Marketing Assistant,2005-07-10,2005-07-10,84612.87,M,,,,,,,,Active Assignment,Fulltime-Regular
933033,Gunilla,Derks,Business Development,Z879.Department Name.Division Name.06,Internal Auditor,2009-11-04,2009-11-04,118330.82,F,True,,,True,,,,Active Assignment,Fulltime-Regular
628586,Fowler,Wadley,Sales,L937.Department Name.Division Name.04,Assistant Professor,2012-02-14,2012-02-14,76566.22,M,,,,,,True,,Active Assignment,Fulltime-Temporary
415052,Regan,Totaro,Marketing,I924.Department Name.Division Name.08,Physical Therapy Assistant,2006-12-12,2006-12-12,63489.89,M,True,,,,,True,,Active Assignment,Fulltime-Temporary
962615,Thorn,Cran,Support,G346.Department Name.Division Name.06,Biostatistician II,2006-02-10,2006-02-10,88208.04,M,,,,,,,,Active Assignment,Fulltime-Regular
397882,Gaby,Whitelaw,Sales,T225.Department Name.Division Name.09,Accountant II,2011-12-19,2011-12-19,132176.69,F,,,True,,,,,Active Assignment,Fulltime-Regular
688526,Elysee,Greenlies,Services,E098.Department Name.Division Name.06,Financial Analyst,2017-01-19,2017-01-19,126296.33,F,,,,True,,True,True,Active Assignment,Fulltime-Regular
413601,Magdaia,Chung,Product Management,M785.Department Name.Division Name.05,Senior Developer,2004-09-22,2004-09-22,66656.87,F,,,True,,,,,Active Assignment,Fulltime-Regular
170482,Waite,Aspenlon,Research and Development,P573.Department Name.Division Name.02,Marketing Assistant,2004-04-01,2004-04-01,80784.27,M,,,,True,,,,Active Assignment,Fulltime-Regular
749310,Javier,Kubin,Engineering,A692.Department Name.Division Name.05,Pharmacist,2003-02-14,2003-02-14,81252.94,M,,,,True,,True,,Active Assignment,Parttime-Regular
461257,Gian,Osgorby,Training,D835.Department Name.Division Name.03,Electrical Engineer,2001-02-03,2001-02-03,108245.61,M,,,,True,,,,Active Assignment,Fulltime-Regular
544410,Bobbie,Jagiello,Legal,Q203.Department Name.Division Name.01,Software Engineer I,2013-04-24,2013-04-24,48997.97,M,,,,,,True,,Active Assignment,Fulltime-Temporary
144095,Benjy,Evans,Support,M939.Department Name.Division Name.00,Speech Pathologist,2002-04-27,2002-04-27,86221.53,M,True,,True,,,True,,Active Assignment,Parttime-Regular
898374,Gussy,Shaw,Human Resources,Y335.Department Name.Division Name.08,Marketing Assistant,2010-11-05,2010-11-05,149514.75,F,True,,True,,,True,,Active Assignment,Fulltime-Regular
535456,Veronike,Foynes,Research and Development,S359.Department Name.Division Name.07,Programmer Analyst III,2007-02-05,2007-02-05,57527.73,F,,,,,True,True,,Active Assignment,Fulltime-Regular
597272,Brook,Wasielewski,Research and Development,R278.Department Name.Division Name.02,Environmental Tech,2009-11-12,2009-11-12,67171.64,M,,,,True,,True,,Active Assignment,Parttime-Regular
966929,Shepherd,Dellar,Product Management,V830.Department Name.Division Name.03,Sales Associate,2000-10-14,2000-10-14,106228.97,M,True,,,,,True,,Active Assignment,Fulltime-Temporary
320851,Danita,Cowl,Business Development,D598.Department Name.Division Name.04,Financial Analyst,2015-02-27,2015-02-27,142082.59,F,,,,True,,True,,Active Assignment,Fulltime-Regular
473526,Rhetta,Anthill,Product Management,R712.Department Name.Division Name.06,Database Administrator II,2014-07-12,2014-07-12,135515.38,F,True,,,True,,True,,Active Assignment,Fulltime-Regular
505670,Stanford,Dykins,Marketing,D116.Department Name.Division Name.09,Research Assistant II,2007-12-09,2007-12-09,149956.83,M,,,,,,True,,Active Assignment,Fulltime-Regular
376128,Rosalind,Perrot,Research and Development,Z574.Department Name.Division Name.07,Office Assistant II,2009-10-28,2009-10-28,126272.96,F,True,,,,,True,,Active Assignment,Fulltime-Temporary
542405,Ag,Matches,Legal,Y514.Department Name.Division Name.01,Statistician III,2003-09-19,2003-09-19,59319.83,F,,,,True,,,,Active Assignment,Parttime-Regular
931759,Jacquenette,Nother,Accounting,I044.Department Name.Division Name.04,Chief Design Engineer,2015-01-26,2015-01-26,101160.86,F,True,,,,,True,,Active Assignment,Fulltime-Regular
587595,Jermaine,Cheater,Human Resources,M229.Department Name.Division Name.06,VP Sales,2009-02-03,2009-02-03,75927.74,M,,,True,True,,,,Active Assignment,Fulltime-Temporary
722912,Boonie,Iskower,Product Management,M878.Department Name.Division Name.03,Research Nurse,2001-11-07,2001-11-07,137024.74,M,,,,True,,True,,Active Assignment,Fulltime-Regular
783411,Audie,Honnicott,Training,G717.Department Name.Division Name.07,Engineer IV,2015-01-07,2015-01-07,44440.60,F,,,,,,True,,Active Assignment,Fulltime-Temporary
330278,Rik,Dungate,Marketing,J426.Department Name.Division Name.02,Senior Sales Associate,2001-08-22,2001-08-22,74764.11,M,,,True,,,True,,Active Assignment,Fulltime-Regular
468419,Sybila,Olfert,Product Management,Y520.Department Name.Division Name.07,Nurse,2001-07-07,2001-07-07,67200.35,F,,,,True,,,,Active Assignment,Parttime-Regular
468135,Edouard,Tregien,Training,J914.Department Name.Division Name.07,Sales Representative,2011-09-16,2011-09-16,112128.64,M,,,True,True,,,,Active Assignment,Parttime-Regular
211682,Olag,MacLaverty,Accounting,P605.Department Name.Division Name.07,Quality Engineer,2002-12-12,2002-12-12,120963.54,M,,,,,,,,Active Assignment,Parttime-Regular
213748,Marco,Coslett,Engineering,J532.Department Name.Division Name.04,Director of Sales,2014-10-24,2014-10-24,92973.39,M,,,,True,,,,Active Assignment,Fulltime-Regular
740139,Karyl,Gonzalo,Accounting,R115.Department Name.Division Name.05,Design Engineer,2012-11-01,2012-11-01,40627.84,F,,,,True,True,,,Active Assignment,Parttime-Regular
633913,Shaine,Latehouse,Accounting,L356.Department Name.Division Name.09,Environmental Specialist,2002-06-15,2002-06-15,54042.84,M,,,,,,True,,Active Assignment,Parttime-Regular
819488,Kameko,Kielty,Business Development,Y136.Department Name.Division Name.07,Civil Engineer,2002-09-16,2002-09-16,51060.26,F,,,,True,,,,Active Assignment,Parttime-Regular
529295,Neil,Child,Research and Development,A583.Department Name.Division Name.02,Executive Secretary,2002-05-17,2002-05-17,46859.57,M,,,True,,,True,,Active Assignment,Parttime-Regular
322840,Penn,Guillford,Training,N533.Department Name.Division Name.08,Business Systems Development Analyst,2015-03-30,2015-03-30,50583.90,M,,,True,,,True,,Active Assignment,Fulltime-Regular
402455,Brunhilde,Mordaunt,Research and Development,N503.Department Name.Division Name.03,Web Developer IV,2002-06-10,2002-06-10,100985.85,F,True,,True,True,,True,,Active Assignment,Fulltime-Temporary
313202,Raleigh,Gorini,Research and Development,W501.Department Name.Division Name.00,Developer II,2009-11-06,2009-11-06,42405.31,M,,,True,,,True,,Active Assignment,Parttime-Regular
184509,Sky,Dicey,Accounting,P360.Department Name.Division Name.08,Programmer Analyst IV,2013-12-09,2013-12-09,63918.86,M,,,True,,,True,,Active Assignment,Fulltime-Regular
112547,Gertrud,De Vile,Product Management,K422.Department Name.Division Name.03,Desktop Support Technician,2013-06-18,2013-06-18,54756.39,F,True,,,True,,,,Active Assignment,Fulltime-Regular
210833,Robinett,Bernucci,Business Development,D041.Department Name.Division Name.02,Physical Therapy Assistant,2010-03-01,2010-03-01,110171.08,F,,,,True,,,,Active Assignment,Fulltime-Temporary
424179,Ricardo,Suggitt,Accounting,J341.Department Name.Division Name.02,Marketing Manager,2004-09-13,2004-09-13,119000.50,M,,,,,,True,,Active Assignment,Parttime-Regular
695866,Bar,Kops,Business Development,K568.Department Name.Division Name.02,Associate Professor,2002-02-12,2002-02-12,132072.44,M,,,,True,,,,Active Assignment,Fulltime-Regular
934706,Dimitri,Gudge,Research and Development,D129.Department Name.Division Name.04,Information Systems Manager,2014-06-10,2014-06-10,125784.49,M,,,True,,,,,Active Assignment,Parttime-Regular
808967,Lewie,Marshal,Business Development,G136.Department Name.Division Name.04,Senior Financial Analyst,2013-09-16,2013-09-16,52248.69,M,,,True,True,,True,,Active Assignment,Parttime-Regular
951318,Glenda,Auckland,Support,Z051.Department Name.Division Name.03,Assistant Manager,2015-07-29,2015-07-29,98050.33,F,,,,,,True,,Active Assignment,Parttime-Regular
666889,Cori,Hannon,Human Resources,D518.Department Name.Division Name.05,Software Test Engineer III,2003-05-26,2003-05-26,50773.29,F,,,True,True,,,,Active Assignment,Parttime-Regular
636322,Lorne,Brannigan,Engineering,D001.Department Name.Division Name.05,Automation Specialist II,2014-04-09,2014-04-09,82780.84,M,True,,,,,,,Active Assignment,Fulltime-Regular
987978,Sibylle,Whyke,Accounting,P348.Department Name.Division Name.07,Project Manager,2017-02-11,2017-02-11,86351.09,F,,,True,True,,,,Active Assignment,Parttime-Regular
820272,Donaugh,Mapother,Legal,K368.Department Name.Division Name.09,Sales Associate,2007-02-02,2007-02-02,55465.81,M,,,,,,,,Active Assignment,Fulltime-Regular
936071,Laurens,Stenners,Human Resources,C454.Department Name.Division Name.03,Legal Assistant,2001-08-06,2001-08-06,149968.19,M,,,,True,,True,,Active Assignment,Fulltime-Regular
480386,Randi,Gerhts,Marketing,W799.Department Name.Division Name.01,GIS Technical Architect,2010-11-30,2010-11-30,124899.19,F,True,,True,True,,,,Active Assignment,Fulltime-Temporary
779069,Jule,Torrans,Legal,W097.Department Name.Division Name.02,Software Engineer I,2005-01-25,2005-01-25,61229.19,M,,,,True,,,,Active Assignment,Parttime-Regular
303985,Raquel,Hobson,Marketing,Q324.Department Name.Division Name.01,Compensation Analyst,2008-12-16,2008-12-16,127473.71,F,,,,,,,,Active Assignment,Parttime-Regular
856156,Panchito,Regi,Engineering,F435.Department Name.Division Name.09,VP Quality Control,2007-04-13,2007-04-13,142032.55,M,,,,True,,True,,Active Assignment,Parttime-Regular
979795,Shelley,Phoebe,Training,W294.Department Name.Division Name.07,Safety Technician III,2010-12-11,2010-12-11,50102.24,M,True,,,,,,,Active Assignment,Fulltime-Regular
810087,Blanca,Coppenhall,Marketing,H823.Department Name.Division Name.06,Marketing Manager,2013-03-27,2013-03-27,127425.80,F,,,True,True,True,,,Active Assignment,Fulltime-Regular
467748,Jeane,O'Brogane,Product Management,O222.Department Name.Division Name.00,Software Test Engineer III,2013-02-11,2013-02-11,136189.01,F,True,,,True,True,True,,Active Assignment,Fulltime-Regular
904054,Quinn,Smardon,Legal,B743.Department Name.Division Name.02,Accounting Assistant I,2013-08-23,2013-08-23,69929.95,M,,,,True,,True,,Active Assignment,Fulltime-Temporary
371621,Carolynn,Laxtonne,Training,N923.Department Name.Division Name.06,Chemical Engineer,2015-08-20,2015-08-20,122073.72,F,,,True,,,,,Active Assignment,Parttime-Regular
801483,Brandice,Anthonies,Human Resources,V193.Department Name.Division Name.01,Accounting Assistant IV,2005-06-25,2005-06-25,64683.48,F,,,True,True,,True,,Active Assignment,Fulltime-Temporary
